ENSG00000269416.1	CTB-175P5.4
ENSG00000008517.12	IL32
ENSG00000158966.9	CACHD1
ENSG00000167768.4	KRT1
ENSG00000147257.9	GPC3
ENSG00000169992.5	NLGN2
ENSG00000143248.8	RGS5
ENSG00000232301.1	RP11-132A1.3
ENSG00000083857.9	FAT1
ENSG00000165272.10	AQP3
ENSG00000105048.12	TNNT1
ENSG00000206047.2	DEFA1
ENSG00000072694.14	FCGR2B
ENSG00000181649.5	PHLDA2
ENSG00000154016.9	GRAP
ENSG00000121068.9	TBX2
ENSG00000138735.11	PDE5A
ENSG00000255248.2	RP11-166D19.1
ENSG00000168918.9	INPP5D
ENSG00000186265.5	BTLA
ENSG00000211679.2	IGLC3
ENSG00000165716.5	FAM69B
ENSG00000135905.14	DOCK10
ENSG00000151632.12	AKR1C2
ENSG00000078295.11	ADCY2
ENSG00000148677.6	ANKRD1
ENSG00000196557.6	CACNA1H
ENSG00000090382.2	LYZ
ENSG00000120937.8	NPPB
ENSG00000160867.10	FGFR4
ENSG00000130545.11	CRB3
ENSG00000015285.6	WAS
ENSG00000204764.8	RANBP17
ENSG00000186517.9	ARHGAP30
ENSG00000124107.5	SLPI
ENSG00000110324.5	IL10RA
ENSG00000211947.2	IGHV3-21
ENSG00000034053.10	APBA2
ENSG00000185630.14	PBX1
ENSG00000163534.10	FCRL1
ENSG00000154556.13	SORBS2
ENSG00000083454.17	P2RX5
ENSG00000243649.4	CFB
ENSG00000129596.4	CDO1
ENSG00000148200.12	NR6A1
ENSG00000026297.11	RNASET2
ENSG00000136490.4	LIMD2
ENSG00000064309.10	CDON
ENSG00000046604.8	DSG2
ENSG00000137868.14	STRA6
ENSG00000074370.13	ATP2A3
ENSG00000112186.7	CAP2
ENSG00000169744.8	LDB2
ENSG00000132749.6	MTL5
ENSG00000158246.7	FAM46B
ENSG00000250722.1	SEPP1
ENSG00000174669.7	SLC29A2
ENSG00000128340.10	RAC2
ENSG00000118503.10	TNFAIP3
ENSG00000198520.6	C1orf228
ENSG00000112799.4	LY86
ENSG00000186205.8	MARC1
ENSG00000110811.15	LEPREL2
ENSG00000185499.12	MUC1
ENSG00000101265.11	RASSF2
ENSG00000131773.9	KHDRBS3
ENSG00000151651.11	ADAM8
ENSG00000132031.8	MATN3
ENSG00000088280.14	ASAP3
ENSG00000185885.11	IFITM1
ENSG00000141756.14	FKBP10
ENSG00000137834.10	SMAD6
ENSG00000254277.1	RP11-1144P22.1
ENSG00000197956.5	S100A6
ENSG00000213413.2	PVRIG
ENSG00000155962.8	CLIC2
ENSG00000112319.13	EYA4
ENSG00000166927.8	MS4A7
ENSG00000242076.1	IGKV1-33
ENSG00000239951.1	IGKV3-20
ENSG00000152284.4	TCF7L1
ENSG00000162692.6	VCAM1
ENSG00000224597.5	PTCHD3P1
ENSG00000117114.15	LPHN2
ENSG00000211956.2	IGHV4-34
ENSG00000211673.2	IGLV3-1
ENSG00000159189.7	C1QC
ENSG00000102996.4	MMP15
ENSG00000184363.5	PKP3
ENSG00000048462.6	TNFRSF17
ENSG00000144677.10	CTDSPL
ENSG00000128739.16	SNRPN
ENSG00000100100.8	PIK3IP1
ENSG00000101000.4	PROCR
ENSG00000136732.10	GYPC
ENSG00000135899.12	SP110
ENSG00000169439.7	SDC2
ENSG00000092621.7	PHGDH
ENSG00000162627.12	SNX7
ENSG00000180921.6	FAM83H
ENSG00000157873.13	TNFRSF14
ENSG00000158477.6	CD1A
ENSG00000174004.5	NRROS
ENSG00000173442.7	EHBP1L1
ENSG00000133083.10	DCLK1
ENSG00000007384.11	RHBDF1
ENSG00000130600.11	H19
ENSG00000158164.6	TMSB15A
ENSG00000166681.9	NGFRAP1
ENSG00000099814.11	CEP170B
ENSG00000197905.4	TEAD4
ENSG00000072071.12	LPHN1
ENSG00000109089.7	CDR2L
ENSG00000138755.5	CXCL9
ENSG00000100079.5	LGALS2
ENSG00000211677.2	IGLC2
ENSG00000145632.10	PLK2
ENSG00000153956.11	CACNA2D1
ENSG00000130508.6	PXDN
ENSG00000164294.9	GPX8
ENSG00000206557.5	TRIM71
ENSG00000122986.9	HVCN1
ENSG00000127955.11	GNAI1
ENSG00000163565.14	IFI16
ENSG00000088387.13	DOCK9
