folder_name	encode_expt_accession	common_name	eid	rep_folder	encode_biosample_ids	rsem_quant_file	system	organ	cell_type	color	lab	sex	biosample_type	biosample_term_id	biosample_term_name	life_stage	age	age_units	treatments	description
ENCSR830HIN.Primary_hematopoietic_stem_cells.FHCRC_Heimfeld	ENCSR830HIN	Primary_hematopoietic_stem_cells	E050	GSM909310	ENCBS121LTF	/mnt/data/integrative/rna/ENCSR830HIN.Primary_hematopoietic_stem_cells.FHCRC_Heimfeld/quant/rsem/GSM909310/Quant.genes.results	Blood	Blood	HSC	#008000	FHCRC_Heimfeld	female	primary cell	CL:0001059	common myeloid progenitor, CD34-positive	adult	33	year		Flow sorted CD34+ cells from cord blood of a healthy 33 year old Caucasian female donor. Cells provided by the Shelly Heimfeld lab at FHCRC.
ENCSR000CUA.Primary_hematopoietic_stem_cells.CSHL_Gingeras	ENCSR000CUA	Primary_hematopoietic_stem_cells	E051	ENCBS485ENC	ENCBS485ENC	/mnt/data/integrative/rna/ENCSR000CUA.Primary_hematopoietic_stem_cells.CSHL_Gingeras/quant/rsem/ENCBS485ENC/Quant.genes.results	Blood	Blood	HSC	#008000	CSHL_Gingeras	male	primary cell	CL:0000837	hematopoietic multipotent progenitor cell	unknown	unknown			hematopoietic progenitor cells- mobilized, from donor RO01679.
ENCSR000AEC.GM12878_Lymphoblastoid_Cells.CSHL_Gingeras	ENCSR000AEC	GM12878_Lymphoblastoid_Cells	E116	ENCBS089RNA	ENCBS089RNA	/mnt/data/integrative/rna/ENCSR000AEC.GM12878_Lymphoblastoid_Cells.CSHL_Gingeras/quant/rsem/ENCBS089RNA/Quant.genes.results	Blood	Blood	Lymphoblastoid	#27AE60	CSHL_Gingeras	female	immortalized cell line	EFO:0002784	GM12878	adult	unknown			B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus
ENCSR000AEC.GM12878_Lymphoblastoid_Cells.CSHL_Gingeras	ENCSR000AEC	GM12878_Lymphoblastoid_Cells	E116	ENCBS090RNA	ENCBS090RNA	/mnt/data/integrative/rna/ENCSR000AEC.GM12878_Lymphoblastoid_Cells.CSHL_Gingeras/quant/rsem/ENCBS090RNA/Quant.genes.results	Blood	Blood	Lymphoblastoid	#27AE60	CSHL_Gingeras	female	immortalized cell line	EFO:0002784	GM12878	adult	unknown			B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus
ENCSR000AED.GM12878_Lymphoblastoid_Cells.CSHL_Gingeras	ENCSR000AED	GM12878_Lymphoblastoid_Cells	E116	ENCBS089RNA	ENCBS089RNA	/mnt/data/integrative/rna/ENCSR000AED.GM12878_Lymphoblastoid_Cells.CSHL_Gingeras/quant/rsem/ENCBS089RNA/Quant.genes.results	Blood	Blood	Lymphoblastoid	#27AE60	CSHL_Gingeras	female	immortalized cell line	EFO:0002784	GM12878	adult	unknown			B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus
ENCSR000AED.GM12878_Lymphoblastoid_Cells.CSHL_Gingeras	ENCSR000AED	GM12878_Lymphoblastoid_Cells	E116	ENCBS090RNA	ENCBS090RNA	/mnt/data/integrative/rna/ENCSR000AED.GM12878_Lymphoblastoid_Cells.CSHL_Gingeras/quant/rsem/ENCBS090RNA/Quant.genes.results	Blood	Blood	Lymphoblastoid	#27AE60	CSHL_Gingeras	female	immortalized cell line	EFO:0002784	GM12878	adult	unknown			B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus
ENCSR000AEE.GM12878_Lymphoblastoid_Cells.UConn_Graveley	ENCSR000AEE	GM12878_Lymphoblastoid_Cells	E116	ENCBS089RNA	ENCBS089RNA	/mnt/data/integrative/rna/ENCSR000AEE.GM12878_Lymphoblastoid_Cells.UConn_Graveley/quant/rsem/ENCBS089RNA/Quant.genes.results	Blood	Blood	Lymphoblastoid	#27AE60	UConn_Graveley	female	immortalized cell line	EFO:0002784	GM12878	adult	unknown			B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus
ENCSR000AEE.GM12878_Lymphoblastoid_Cells.UConn_Graveley	ENCSR000AEE	GM12878_Lymphoblastoid_Cells	E116	ENCBS090RNA	ENCBS090RNA	/mnt/data/integrative/rna/ENCSR000AEE.GM12878_Lymphoblastoid_Cells.UConn_Graveley/quant/rsem/ENCBS090RNA/Quant.genes.results	Blood	Blood	Lymphoblastoid	#27AE60	UConn_Graveley	female	immortalized cell line	EFO:0002784	GM12878	adult	unknown			B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus
ENCSR000AEF.GM12878_Lymphoblastoid_Cells.UConn_Graveley	ENCSR000AEF	GM12878_Lymphoblastoid_Cells	E116	ENCBS089RNA	ENCBS089RNA	/mnt/data/integrative/rna/ENCSR000AEF.GM12878_Lymphoblastoid_Cells.UConn_Graveley/quant/rsem/ENCBS089RNA/Quant.genes.results	Blood	Blood	Lymphoblastoid	#27AE60	UConn_Graveley	female	immortalized cell line	EFO:0002784	GM12878	adult	unknown			B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus
ENCSR000AEF.GM12878_Lymphoblastoid_Cells.UConn_Graveley	ENCSR000AEF	GM12878_Lymphoblastoid_Cells	E116	ENCBS090RNA	ENCBS090RNA	/mnt/data/integrative/rna/ENCSR000AEF.GM12878_Lymphoblastoid_Cells.UConn_Graveley/quant/rsem/ENCBS090RNA/Quant.genes.results	Blood	Blood	Lymphoblastoid	#27AE60	UConn_Graveley	female	immortalized cell line	EFO:0002784	GM12878	adult	unknown			B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus
ENCSR000COQ.GM12878_Lymphoblastoid_Cells.CSHL_Gingeras	ENCSR000COQ	GM12878_Lymphoblastoid_Cells	E116	ENCBS095RNA	ENCBS095RNA	/mnt/data/integrative/rna/ENCSR000COQ.GM12878_Lymphoblastoid_Cells.CSHL_Gingeras/quant/rsem/ENCBS095RNA/Quant.genes.results	Blood	Blood	Lymphoblastoid	#27AE60	CSHL_Gingeras	female	immortalized cell line	EFO:0002784	GM12878	adult	unknown			B-lymphoblastoid cell line
ENCSR000COQ.GM12878_Lymphoblastoid_Cells.CSHL_Gingeras	ENCSR000COQ	GM12878_Lymphoblastoid_Cells	E116	ENCBS096RNA	ENCBS096RNA	/mnt/data/integrative/rna/ENCSR000COQ.GM12878_Lymphoblastoid_Cells.CSHL_Gingeras/quant/rsem/ENCBS096RNA/Quant.genes.results	Blood	Blood	Lymphoblastoid	#27AE60	CSHL_Gingeras	female	immortalized cell line	EFO:0002784	GM12878	adult	unknown			B-lymphoblastoid cell line
ENCSR000EYN.GM12878_Lymphoblastoid_Cells.Caltech_Wold	ENCSR000EYN	GM12878_Lymphoblastoid_Cells	E116	ENCBS348KQK	ENCBS348KQK	/mnt/data/integrative/rna/ENCSR000EYN.GM12878_Lymphoblastoid_Cells.Caltech_Wold/quant/rsem/ENCBS348KQK/Quant.genes.results	Blood	Blood	Lymphoblastoid	#27AE60	Caltech_Wold	female	immortalized cell line	EFO:0002784	GM12878	adult	unknown			B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus
ENCSR000EYN.GM12878_Lymphoblastoid_Cells.Caltech_Wold	ENCSR000EYN	GM12878_Lymphoblastoid_Cells	E116	ENCBS692APS	ENCBS692APS	/mnt/data/integrative/rna/ENCSR000EYN.GM12878_Lymphoblastoid_Cells.Caltech_Wold/quant/rsem/ENCBS692APS/Quant.genes.results	Blood	Blood	Lymphoblastoid	#27AE60	Caltech_Wold	female	immortalized cell line	EFO:0002784	GM12878	adult	unknown			B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus
ENCSR000CWK.GM12891_Lymphoblastoid_Cells.Caltech_Wold	ENCSR000CWK	GM12891_Lymphoblastoid_Cells	E275	ENCBS507TOT	ENCBS507TOT	/mnt/data/integrative/rna/ENCSR000CWK.GM12891_Lymphoblastoid_Cells.Caltech_Wold/quant/rsem/ENCBS507TOT/Quant.genes.results	Blood	Blood	Lymphoblastoid	#27AE60	Caltech_Wold	male	immortalized cell line	EFO:0002785	GM12891	unknown	unknown			B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed
ENCSR000CWK.GM12891_Lymphoblastoid_Cells.Caltech_Wold	ENCSR000CWK	GM12891_Lymphoblastoid_Cells	E275	ENCBS606OMD	ENCBS606OMD	/mnt/data/integrative/rna/ENCSR000CWK.GM12891_Lymphoblastoid_Cells.Caltech_Wold/quant/rsem/ENCBS606OMD/Quant.genes.results	Blood	Blood	Lymphoblastoid	#27AE60	Caltech_Wold	male	immortalized cell line	EFO:0002785	GM12891	unknown	unknown			B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed
ENCSR000CWL.GM12892_Lymphoblastoid_Cells.Caltech_Wold	ENCSR000CWL	GM12892_Lymphoblastoid_Cells	E276	ENCBS287ATY	ENCBS287ATY	/mnt/data/integrative/rna/ENCSR000CWL.GM12892_Lymphoblastoid_Cells.Caltech_Wold/quant/rsem/ENCBS287ATY/Quant.genes.results	Blood	Blood	Lymphoblastoid	#27AE60	Caltech_Wold	female	immortalized cell line	EFO:0002786	GM12892	unknown	unknown			B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed
ENCSR000CWL.GM12892_Lymphoblastoid_Cells.Caltech_Wold	ENCSR000CWL	GM12892_Lymphoblastoid_Cells	E276	ENCBS564VMX	ENCBS564VMX	/mnt/data/integrative/rna/ENCSR000CWL.GM12892_Lymphoblastoid_Cells.Caltech_Wold/quant/rsem/ENCBS564VMX/Quant.genes.results	Blood	Blood	Lymphoblastoid	#27AE60	Caltech_Wold	female	immortalized cell line	EFO:0002786	GM12892	unknown	unknown			B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed
ENCSR000CWL.GM12892_Lymphoblastoid_Cells.Caltech_Wold	ENCSR000CWL	GM12892_Lymphoblastoid_Cells	E276	ENCBS726USL	ENCBS726USL	/mnt/data/integrative/rna/ENCSR000CWL.GM12892_Lymphoblastoid_Cells.Caltech_Wold/quant/rsem/ENCBS726USL/Quant.genes.results	Blood	Blood	Lymphoblastoid	#27AE60	Caltech_Wold	female	immortalized cell line	EFO:0002786	GM12892	unknown	unknown			B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed
ENCSR000BXX.Jurkat_Lymphoblastoid_Cell_Line.HAIB_Myers	ENCSR000BXX	Jurkat_Lymphoblastoid_Cell_Line	E289	ENCBS407ENC	ENCBS407ENC	/mnt/data/integrative/rna/ENCSR000BXX.Jurkat_Lymphoblastoid_Cell_Line.HAIB_Myers/quant/rsem/ENCBS407ENC/Quant.genes.results	Blood	Blood	Lymphoblastoid	#27AE60	HAIB_Myers	male	immortalized cell line	EFO:0002796	Jurkat	child	14	year		T lymphoblastoid derived from an acute T cell leukemia, The Jurkat cell line was established from the peripheral blood of a 14 year old boy by Schneider et al., and was originally designated JM. - ATCC. (PMID: 68013)
ENCSR000BXX.Jurkat_Lymphoblastoid_Cell_Line.HAIB_Myers	ENCSR000BXX	Jurkat_Lymphoblastoid_Cell_Line	E289	ENCBS429ENC	ENCBS429ENC	/mnt/data/integrative/rna/ENCSR000BXX.Jurkat_Lymphoblastoid_Cell_Line.HAIB_Myers/quant/rsem/ENCBS429ENC/Quant.genes.results	Blood	Blood	Lymphoblastoid	#27AE60	HAIB_Myers	male	immortalized cell line	EFO:0002796	Jurkat	child	14	year		T lymphoblastoid derived from an acute T cell leukemia, The Jurkat cell line was established from the peripheral blood of a 14 year old boy by Schneider et al., and was originally designated JM. - ATCC. (PMID: 68013)
ENCSR000AEL.K562_Leukemia_Cells.CSHL_Gingeras	ENCSR000AEL	K562_Leukemia_Cells	E123	ENCBS087RNA	ENCBS087RNA	/mnt/data/integrative/rna/ENCSR000AEL.K562_Leukemia_Cells.CSHL_Gingeras/quant/rsem/ENCBS087RNA/Quant.genes.results	Blood	Blood	Leukemia	#377031	CSHL_Gingeras	female	immortalized cell line	EFO:0002067	K562	adult	53	year		The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. ENCODE3 RNA-seq evaluation replicate 1.
ENCSR000AEL.K562_Leukemia_Cells.CSHL_Gingeras	ENCSR000AEL	K562_Leukemia_Cells	E123	ENCBS088RNA	ENCBS088RNA	/mnt/data/integrative/rna/ENCSR000AEL.K562_Leukemia_Cells.CSHL_Gingeras/quant/rsem/ENCBS088RNA/Quant.genes.results	Blood	Blood	Leukemia	#377031	CSHL_Gingeras	female	immortalized cell line	EFO:0002067	K562	adult	53	year		The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. ENCODE3 RNA-seq evaluation replicate 2.
ENCSR000AEM.K562_Leukemia_Cells.CSHL_Gingeras	ENCSR000AEM	K562_Leukemia_Cells	E123	ENCBS087RNA	ENCBS087RNA	/mnt/data/integrative/rna/ENCSR000AEM.K562_Leukemia_Cells.CSHL_Gingeras/quant/rsem/ENCBS087RNA/Quant.genes.results	Blood	Blood	Leukemia	#377031	CSHL_Gingeras	female	immortalized cell line	EFO:0002067	K562	adult	53	year		The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. ENCODE3 RNA-seq evaluation replicate 1.
ENCSR000AEM.K562_Leukemia_Cells.CSHL_Gingeras	ENCSR000AEM	K562_Leukemia_Cells	E123	ENCBS088RNA	ENCBS088RNA	/mnt/data/integrative/rna/ENCSR000AEM.K562_Leukemia_Cells.CSHL_Gingeras/quant/rsem/ENCBS088RNA/Quant.genes.results	Blood	Blood	Leukemia	#377031	CSHL_Gingeras	female	immortalized cell line	EFO:0002067	K562	adult	53	year		The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. ENCODE3 RNA-seq evaluation replicate 2.
ENCSR000AEN.K562_Leukemia_Cells.UConn_Graveley	ENCSR000AEN	K562_Leukemia_Cells	E123	ENCBS087RNA	ENCBS087RNA	/mnt/data/integrative/rna/ENCSR000AEN.K562_Leukemia_Cells.UConn_Graveley/quant/rsem/ENCBS087RNA/Quant.genes.results	Blood	Blood	Leukemia	#377031	UConn_Graveley	female	immortalized cell line	EFO:0002067	K562	adult	53	year		The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. ENCODE3 RNA-seq evaluation replicate 1.
ENCSR000AEN.K562_Leukemia_Cells.UConn_Graveley	ENCSR000AEN	K562_Leukemia_Cells	E123	ENCBS088RNA	ENCBS088RNA	/mnt/data/integrative/rna/ENCSR000AEN.K562_Leukemia_Cells.UConn_Graveley/quant/rsem/ENCBS088RNA/Quant.genes.results	Blood	Blood	Leukemia	#377031	UConn_Graveley	female	immortalized cell line	EFO:0002067	K562	adult	53	year		The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. ENCODE3 RNA-seq evaluation replicate 2.
ENCSR000AEO.K562_Leukemia_Cells.UConn_Graveley	ENCSR000AEO	K562_Leukemia_Cells	E123	ENCBS087RNA	ENCBS087RNA	/mnt/data/integrative/rna/ENCSR000AEO.K562_Leukemia_Cells.UConn_Graveley/quant/rsem/ENCBS087RNA/Quant.genes.results	Blood	Blood	Leukemia	#377031	UConn_Graveley	female	immortalized cell line	EFO:0002067	K562	adult	53	year		The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. ENCODE3 RNA-seq evaluation replicate 1.
ENCSR000AEO.K562_Leukemia_Cells.UConn_Graveley	ENCSR000AEO	K562_Leukemia_Cells	E123	ENCBS088RNA	ENCBS088RNA	/mnt/data/integrative/rna/ENCSR000AEO.K562_Leukemia_Cells.UConn_Graveley/quant/rsem/ENCBS088RNA/Quant.genes.results	Blood	Blood	Leukemia	#377031	UConn_Graveley	female	immortalized cell line	EFO:0002067	K562	adult	53	year		The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. ENCODE3 RNA-seq evaluation replicate 2.
ENCSR000AEQ.K562_Leukemia_Cells.Caltech_Wold	ENCSR000AEQ	K562_Leukemia_Cells	E123	ENCBS087RNA	ENCBS087RNA	/mnt/data/integrative/rna/ENCSR000AEQ.K562_Leukemia_Cells.Caltech_Wold/quant/rsem/ENCBS087RNA/Quant.genes.results	Blood	Blood	Leukemia	#377031	Caltech_Wold	female	immortalized cell line	EFO:0002067	K562	adult	53	year		The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. ENCODE3 RNA-seq evaluation replicate 1.
ENCSR000AEQ.K562_Leukemia_Cells.Caltech_Wold	ENCSR000AEQ	K562_Leukemia_Cells	E123	ENCBS088RNA	ENCBS088RNA	/mnt/data/integrative/rna/ENCSR000AEQ.K562_Leukemia_Cells.Caltech_Wold/quant/rsem/ENCBS088RNA/Quant.genes.results	Blood	Blood	Leukemia	#377031	Caltech_Wold	female	immortalized cell line	EFO:0002067	K562	adult	53	year		The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. ENCODE3 RNA-seq evaluation replicate 2.
ENCSR000CPH.K562_Leukemia_Cells.CSHL_Gingeras	ENCSR000CPH	K562_Leukemia_Cells	E123	ENCBS723AAA	ENCBS723AAA	/mnt/data/integrative/rna/ENCSR000CPH.K562_Leukemia_Cells.CSHL_Gingeras/quant/rsem/ENCBS723AAA/Quant.genes.results	Blood	Blood	Leukemia	#377031	CSHL_Gingeras	female	immortalized cell line	EFO:0002067	K562	adult	53	year		leukemia, The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. - ATCC
ENCSR000CPH.K562_Leukemia_Cells.CSHL_Gingeras	ENCSR000CPH	K562_Leukemia_Cells	E123	ENCBS726AAA	ENCBS726AAA	/mnt/data/integrative/rna/ENCSR000CPH.K562_Leukemia_Cells.CSHL_Gingeras/quant/rsem/ENCBS726AAA/Quant.genes.results	Blood	Blood	Leukemia	#377031	CSHL_Gingeras	female	immortalized cell line	EFO:0002067	K562	adult	53	year		leukemia, The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. - ATCC
ENCSR000EYO.K562_Leukemia_Cells.Caltech_Wold	ENCSR000EYO	K562_Leukemia_Cells	E123	ENCBS438DSC	ENCBS438DSC	/mnt/data/integrative/rna/ENCSR000EYO.K562_Leukemia_Cells.Caltech_Wold/quant/rsem/ENCBS438DSC/Quant.genes.results	Blood	Blood	Leukemia	#377031	Caltech_Wold	female	immortalized cell line	EFO:0002067	K562	adult	53	year		leukemia, The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. - ATCC
ENCSR000EYO.K562_Leukemia_Cells.Caltech_Wold	ENCSR000EYO	K562_Leukemia_Cells	E123	ENCBS851FLL	ENCBS851FLL	/mnt/data/integrative/rna/ENCSR000EYO.K562_Leukemia_Cells.Caltech_Wold/quant/rsem/ENCBS851FLL/Quant.genes.results	Blood	Blood	Leukemia	#377031	Caltech_Wold	female	immortalized cell line	EFO:0002067	K562	adult	53	year		leukemia, The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. - ATCC
ENCSR109IQO.K562_Leukemia_Cells.UConn_Graveley	ENCSR109IQO	K562_Leukemia_Cells	E123	ENCBS538WJZ	ENCBS538WJZ	/mnt/data/integrative/rna/ENCSR109IQO.K562_Leukemia_Cells.UConn_Graveley/quant/rsem/ENCBS538WJZ/Quant.genes.results	Blood	Blood	Leukemia	#377031	UConn_Graveley	female	immortalized cell line	EFO:0002067	K562	adult	53	year		RNA Evaluation K562 Long Total from Graveley (K562-1)
ENCSR109IQO.K562_Leukemia_Cells.UConn_Graveley	ENCSR109IQO	K562_Leukemia_Cells	E123	ENCBS864OKZ	ENCBS864OKZ	/mnt/data/integrative/rna/ENCSR109IQO.K562_Leukemia_Cells.UConn_Graveley/quant/rsem/ENCBS864OKZ/Quant.genes.results	Blood	Blood	Leukemia	#377031	UConn_Graveley	female	immortalized cell line	EFO:0002067	K562	adult	53	year		RNA Evaluation K562 Long Total from Graveley (K562-2)
ENCSR314LXG.Karpas-422_B_Cell_Non-Hodgkin_Lymphoma_Cell_Line.CSHL_Gingeras	ENCSR314LXG	Karpas-422_B_Cell_Non-Hodgkin_Lymphoma_Cell_Line	E296	ENCBS869AAA	ENCBS869AAA	/mnt/data/integrative/rna/ENCSR314LXG.Karpas-422_B_Cell_Non-Hodgkin_Lymphoma_Cell_Line.CSHL_Gingeras/quant/rsem/ENCBS869AAA/Quant.genes.results	Blood	Blood	Lymphoma	#377031	CSHL_Gingeras	female	immortalized cell line	EFO:0005719	Karpas-422	adult	73	year		Karpas422- Human B cell non-Hodgkin lymphoma
ENCSR314LXG.Karpas-422_B_Cell_Non-Hodgkin_Lymphoma_Cell_Line.CSHL_Gingeras	ENCSR314LXG	Karpas-422_B_Cell_Non-Hodgkin_Lymphoma_Cell_Line	E296	ENCBS870AAA	ENCBS870AAA	/mnt/data/integrative/rna/ENCSR314LXG.Karpas-422_B_Cell_Non-Hodgkin_Lymphoma_Cell_Line.CSHL_Gingeras/quant/rsem/ENCBS870AAA/Quant.genes.results	Blood	Blood	Lymphoma	#377031	CSHL_Gingeras	female	immortalized cell line	EFO:0005719	Karpas-422	adult	73	year		Karpas422- Human B cell non-Hodgkin lymphoma
ENCSR001HHK.Oci-Ly-7_B_Cell_Non-Hodgkin_Lymphoma_Cell_Line.CSHL_Gingeras	ENCSR001HHK	Oci-Ly-7_B_Cell_Non-Hodgkin_Lymphoma_Cell_Line	E298	ENCBS865AAA	ENCBS865AAA	/mnt/data/integrative/rna/ENCSR001HHK.Oci-Ly-7_B_Cell_Non-Hodgkin_Lymphoma_Cell_Line.CSHL_Gingeras/quant/rsem/ENCBS865AAA/Quant.genes.results	Blood	Blood	Lymphoma	#377031	CSHL_Gingeras	male	immortalized cell line	EFO:0006711	OCI-LY7	adult	48	year		established from the peripheral blood sample of a 48-year-old man with B-cell Non-Hodgkin lymphoma (B-NHL, diffuse large cell lymphoma, DLCL, stage 2A, at relapse) in 1984
ENCSR001HHK.Oci-Ly-7_B_Cell_Non-Hodgkin_Lymphoma_Cell_Line.CSHL_Gingeras	ENCSR001HHK	Oci-Ly-7_B_Cell_Non-Hodgkin_Lymphoma_Cell_Line	E298	ENCBS866AAA	ENCBS866AAA	/mnt/data/integrative/rna/ENCSR001HHK.Oci-Ly-7_B_Cell_Non-Hodgkin_Lymphoma_Cell_Line.CSHL_Gingeras/quant/rsem/ENCBS866AAA/Quant.genes.results	Blood	Blood	Lymphoma	#377031	CSHL_Gingeras	male	immortalized cell line	EFO:0006711	OCI-LY7	adult	48	year		established from the peripheral blood sample of a 48-year-old man with B-cell Non-Hodgkin lymphoma (B-NHL, diffuse large cell lymphoma, DLCL, stage 2A, at relapse) in 1984
ENCSR249CKG.Chorion.UCSF_Costello	ENCSR249CKG	Chorion	E240	GSM1582463	ENCBS967IZZ	/mnt/data/integrative/rna/ENCSR249CKG.Chorion.UCSF_Costello/quant/rsem/GSM1582463/Quant.genes.results	Embryonic	Chorion	Chorion	#4178AE	UCSF_Costello	unknown	tissue	UBERON:0003124	chorion	fetal	16	week		Placental (Smooth chorionic membrane) tissue from a 16 week healthy Hispanic fetus
ENCSR338FSZ.Chorion.UCSF_Costello	ENCSR338FSZ	Chorion	E240	GSM1582464	ENCBS462IMW	/mnt/data/integrative/rna/ENCSR338FSZ.Chorion.UCSF_Costello/quant/rsem/GSM1582464/Quant.genes.results	Embryonic	Chorion	Chorion	#4178AE	UCSF_Costello	male	tissue	UBERON:0003124	chorion	fetal	38	week		Placental (Smooth chorionic membrane) tissue from a 38 week healthy male fetus
ENCSR466XAR.Chorion.UCSF_Costello	ENCSR466XAR	Chorion	E240	GSM1127107	ENCBS148BCH	/mnt/data/integrative/rna/ENCSR466XAR.Chorion.UCSF_Costello/quant/rsem/GSM1127107/Quant.genes.results	Embryonic	Chorion	Chorion	#4178AE	UCSF_Costello	female	tissue	UBERON:0003124	chorion	fetal	40	week		Placental (Smooth chorionic membrane) tissue from a 40 week healthy female Caucasian fetus
ENCSR741MLF.Chorion.UCSF_Costello	ENCSR741MLF	Chorion	E240	GSM1582476	ENCBS571ADM	/mnt/data/integrative/rna/ENCSR741MLF.Chorion.UCSF_Costello/quant/rsem/GSM1582476/Quant.genes.results	Embryonic	Chorion	Chorion	#4178AE	UCSF_Costello	male	tissue	UBERON:0003124	chorion	fetal	16	week		Placental (Smooth chorionic membrane) tissue from a 16 week healthy African American fetus
ENCSR382XJF.hESC_Derived_CD56+_Ectoderm_Cultured_Cells.Harvard	ENCSR382XJF	hESC_Derived_CD56+_Ectoderm_Cultured_Cells	E012	GSM1112846	ENCBS398HLX	/mnt/data/integrative/rna/ENCSR382XJF.hESC_Derived_CD56+_Ectoderm_Cultured_Cells.Harvard/quant/rsem/GSM1112846/Quant.genes.results	Embryonic	Ectoderm	Ectoderm	#4178AE	Harvard	male	in vitro differentiated cells	CL:0000221	ectodermal cell	embryonic	unknown			CD56+ ectodermal germ layer cells derived in vitro from embrionic stem cells by culture in the presence of inhibitors of the BMP, TGFbeta, and WNT signaling pathways. Cells were cultured in DMEM F12, 15% KSR, Dorsomorphin (2um), A83-01 (2um), PNU 74654 (2um) medium. Cells are in the intermediate differentiation stage and come from a healthy male embryo provided by Harvard University.
