Sample	System	Organ	CellType
ENCSR051GPK.Ganglion_Eminence_derived_primary_cultured_neurospheres.UCSF_Costello	Nervous	Brain	Neurosphere
ENCSR906HEV.Fetal_Muscle_Trunk.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR762CJN.H1_BMP4_Derived_Trophoblast_Cultured_Cells.UCSD_Thompson	Embryonic	Trophoblast	ES.derived
ENCSR321ROU.Fetal_Kidney_Pelvis.UW_Glass	Urinary	Kidney	Kidney
ENCSR109IQO.K562_Leukemia_Cells.UConn_Graveley	Blood	Blood	Leukemia
ENCSR000AEF.GM12878_Lymphoblastoid_Cells.UConn_Graveley	Blood	Blood	Lymphoblastoid
ENCSR244ISQ.H9_Derived_Neuronal_Progenitor_Cultured_Cells.CSHL_Gingeras	Nervous	Brain	ES.derived
ENCSR446RKD.Fetal_Intestine_Small.UW_Glass	Gastrointestinal	Small Intestine	Small Intestine
ENCSR396GIH.Sigmoid_Colon.Stanford_Snyder	Gastrointestinal	Colon	Colon
ENCSR000CUA.Primary_hematopoietic_stem_cells.CSHL_Gingeras	Blood	Blood	HSC
ENCSR184FRM.Mammary_Gland_Luminal_Epithelial_Primary_Cells.UCSF_Costello	Breast	Gland	Epithelial
ENCSR000CUE.Articular_Chondrocyte_of_Knee_Joint.CSHL_Gingeras	Musculoskeletal	Cartilage	Chondrocyte
ENCSR000AAN.Pulmonary_Artery_Smooth_Muscle_Primary_Cells.CSHL_Gingeras	Respiratory	Lung	Smooth
ENCSR951NPS.Fetal_Stomach.UW_Glass	Gastrointestinal	Stomach	Stomach
ENCSR652AWW.Fetal_Muscle_Back.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR160UAZ.Fetal_Kidney_Pelvis.UW_Glass	Urinary	Kidney	Kidney
ENCSR443JOD.Fetal_Brain_Female.UCSF_Costello	Nervous	Brain	Brain
ENCSR463JBR.Primary_T_CD4._cells_from_peripheral_blood.FHCRC_Heimfeld	Blood	Blood	T.cell
ENCSR400DJE.Fetal_Kidney_Cortex.UW_Glass	Urinary	Kidney	Kidney
ENCSR265NZF.Fetal_Spleen.UW_Glass	Immune	Spleen	Spleen
ENCSR069CMT.Fetal_Thymus.UW_Glass	Immune	Thymus	Thymus
ENCSR000CUI.Muscle_Satellite_Cultured_Cells.CSHL_Gingeras	Musculoskeletal	Muscle	Satellite
ENCSR884EVS.Fetal_Kidney_Cortex.UW_Glass	Urinary	Kidney	Kidney
ENCSR675YAS.Right_Atrium.Stanford_Snyder	Cardiovascular	Heart	Atrium
ENCSR499NEL.Fetal_Lung.UW_Glass	Respiratory	Lung	Lung
ENCSR593AMV.hESC_Derived_CD56._Ectoderm_Cultured_Cells.Harvard	Embryonic	Ectoderm	Ectoderm
ENCSR663WGC.H1_Derived_Mesenchymal_Stem_Cells.UCSD_Thomson	Embryonic	ES.derived	ES.derived
ENCSR361DRG.Fetal_Skin_Fibroblast_Abdomen.UW_Glass	Skin	Dermis	Fibroblast
ENCSR367QHR.Fetal_Thymus.UW_Glass	Immune	Thymus	Thymus
ENCSR825GWD.Sigmoid_Colon.Stanford_Snyder	Gastrointestinal	Colon	Colon
ENCSR982VYI.Fetal_Skin_Fibroblast_Scalp.UW_Glass	Skin	Dermis	Fibroblast
ENCSR718CDN.Adipose_Nuclei.Stanford_Snyder	Adipose	Adipose	Adipocyte
ENCSR531RKI.Fetal_Muscle_Trunk.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR950PSB.H1_Cells.UCSF_Costello	Embryonic	ESC	ESC
ENCSR000AFE.Brain_Parietal_Lobe.CSHL_Gingeras	Nervous	Brain	Brain
ENCSR423LLK.Fetal_Muscle_Arm.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR069BFN.Cortex_derived_primary_cultured_neurospheres.UCSF_Costello	Nervous	Brain	Neurosphere
ENCSR714QAF.Skin_Nevus.UCSF_Costello	Skin	Skin	Nevus
ENCSR146ZKR.Adrenal_Gland.Stanford_Snyder	Endocrine	Adrenal	Adrenal
ENCSR677MYO.Fetal_Muscle_Arm.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR482VRI.Fetal_Intestine_Small.UW_Glass	Gastrointestinal	Small Intestine	Small Intestine
ENCSR357XTU.Primary_Natural_Killer_cells_from_peripheral_blood.FHCRC_Heimfeld	Blood	Blood	B.cell
ENCSR784PDN.Placenta_Amnion.UCSF_Costello	Reproductive	Amnion	Amnion
ENCSR843HXR.Psoas_Muscle.Stanford_Snyder	Musculoskeletal	Muscle	Muscle
ENCSR976JGI.H1_BMP4_Derived_Mesendoderm_Cultured_Cells.UCSD_Thomson	Embryonic	ES.derived	ES.derived
ENCSR698VVM.Mammary_Gland_Luminal_Epithelial_Primary_Cells.UCSF_Costello	Breast	Gland	Epithelial
ENCSR000CWN.HSMM_Skeletal_Muscle_Myoblasts_Cells.Caltech_Wold	Musculoskeletal	Muscle	Skeletal
ENCSR000AEY.Brain_Frontal_Cortex.CSHL_Gingeras	Nervous	Brain	Brain
ENCSR917YHC.Lung.Stanford_Snyder	Respiratory	Lung	Lung
ENCSR074APH.Fetal_Lung.UW_Glass	Respiratory	Lung	Lung
ENCSR620ZNQ.Fetal_Muscle_Arm.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR000AFD.Brain_Occipital_Lobe.CSHL_Gingeras	Nervous	Brain	Brain
ENCSR317LMH.Fetal_Muscle_Arm.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR897KTO.Alveolus_Epithelial_Primary_Cells.CSHL_Gingeras	Respiratory	Lung	Epithelial
ENCSR672JUF.Foreskin_Keratinocyte_Primary_Cells_skin03.UCSF_Costello	Skin	Epidermis	Keratinocyte
ENCSR000AAU.Umbilical_Artery_Smooth_Muscle_Primary_Cells.CSHL_Gingeras	Reproductive	Umbilical cord	Smooth
ENCSR850BGX.Fetal_Brain_Female.UCSF_Costello	Nervous	Brain	Brain
ENCSR282KJZ.ES.UCSF4_Cells.UCSF_Costello	Embryonic	ESC	ESC
ENCSR700QVJ.Fetal_Spleen.UW_Glass	Immune	Spleen	Spleen
ENCSR000BYE.T47D_Ductal_Carcinoma_Cell_Line.HAIB_Myers	Breast	Gland	Carcinoma
ENCSR944FLL.Primary_T_CD8._cells_from_peripheral_blood.FHCRC_Heimfeld	Blood	Blood	T.cell
