chrom_start_end	Annotation
chr7_127544000_127548400	6_EnhG
chr4_76527400_76555000	15_Quies
chr5_145824000_145825600	15_Quies
chr1_20712600_20713400	13_ReprPC
chr7_33139000_33140800	6_EnhG
chr3_76581600_76582000	7_Enh
chr3_130516200_130529600	15_Quies
chr13_28126600_28127600	4_Tx
chr22_38782600_38783600	1_TssA
chr21_42597800_42601600	14_ReprPCWk
chr16_85953000_85956000	4_Tx
chr1_111035600_111045000	14_ReprPCWk
chr1_228871000_228907600	14_ReprPCWk
chr4_1319600_1320000	5_TxWk
chr14_22304000_22324600	15_Quies
chr7_148833000_148841400	5_TxWk
chr2_45007800_45008400	8_ZNF/Rpts
chr18_33568200_33571600	4_Tx
chr3_122184400_122184600	4_Tx
chr9_108073400_108080800	15_Quies
chr16_75551600_75568200	15_Quies
chr5_74300000_74302000	9_Het
chr12_47178200_47178600	7_Enh
chr12_26716200_26721200	5_TxWk
chr4_56321200_56321600	4_Tx
chr5_134157600_134159600	4_Tx
chr18_33815000_33826000	15_Quies
chr12_105117800_105129400	5_TxWk
chr9_137751000_137751200	7_Enh
chr1_234366200_234366400	2_TssAFlnk
chr16_57247400_57252200	8_ZNF/Rpts
chr4_11456600_11456800	7_Enh
chr3_112166000_112174400	9_Het
chr3_10566200_10582400	14_ReprPCWk
chr19_48282600_48282800	2_TssAFlnk
chr11_34272400_34273200	7_Enh
chr2_121102400_121103600	10_TssBiv
chr3_183229600_183230200	2_TssAFlnk
chr14_106044200_106044400	2_TssAFlnk
chr7_75624600_75632600	5_TxWk
chr12_125047400_125049000	2_TssAFlnk
chr14_107048400_107052400	5_TxWk
chr1_53205400_53207400	7_Enh
chr12_66614200_66628000	15_Quies
chr9_135226800_135227200	2_TssAFlnk
chr2_112823400_112823800	2_TssAFlnk
chr7_120478200_120478400	1_TssA
chr2_219015400_219030000	14_ReprPCWk
chrX_6229600_6343200	15_Quies
chr8_2034600_2039800	15_Quies
chr8_91480400_91559400	15_Quies
chr19_37886600_37889000	15_Quies
chr19_56321200_56326200	15_Quies
chr3_5224200_5224600	2_TssAFlnk
chr9_88323600_88326400	9_Het
chr2_198173000_198175800	1_TssA
chr1_173008600_173009400	14_ReprPCWk
chr16_71572200_71595000	15_Quies
chr9_95858400_95859200	1_TssA
chr9_117349200_117349400	1_TssA
chr2_73801200_73806600	15_Quies
chr16_23645800_23647400	4_Tx
chr6_7205200_7207400	4_Tx
chr3_13041600_13043400	6_EnhG
chr8_125909400_125911000	14_ReprPCWk
chr11_4101400_4106200	4_Tx
chr5_22966400_23674400	15_Quies
